symbol,date,adjusted,daily_return,growth
AAPL,2023-01-04,124.14411926269531,0.010261469874957652,1.0102614698749577
AMZN,2023-01-04,85.13999938964844,-0.007955122776173124,0.9920448772238268
GOOGL,2023-01-04,87.30583953857422,-0.011738217322194773,0.9882617826778052
MSFT,2023-01-04,222.75836181640625,-0.04472881869620805,0.955271181303792
NVDA,2023-01-04,14.716299057006836,0.02986721226529667,1.0298672122652968
AAPL,2023-01-05,122.8276138305664,-0.01066128407039576,0.9994907853592452
AMZN,2023-01-05,83.12000274658203,-0.02401157339665977,0.9682243188415867
GOOGL,2023-01-05,85.4423599243164,-0.021575355417237797,0.9669396834712586
MSFT,2023-01-05,216.1562957763672,-0.03008586708973789,0.9265310195084291
NVDA,2023-01-05,14.233376502990723,-0.03336599437216614,0.9955046686567744
AAPL,2023-01-06,127.34693908691406,0.03613330693712802,1.035605692687462
AMZN,2023-01-06,86.08000183105469,0.0349917378504728,1.002104170386944
GOOGL,2023-01-06,86.57233428955078,0.013138303382321427,0.9796436303851097
MSFT,2023-01-06,218.70376586914063,0.011716409296837028,0.9373866361592055
NVDA,2023-01-06,14.826055526733398,0.040796476895496876,1.0361177518709899
AAPL,2023-01-09,127.86764526367188,0.004080541874972182,1.0398315250824326
AMZN,2023-01-09,87.36000061035156,0.014760401298199752,1.0168956300844547
GOOGL,2023-01-09,87.24635314941406,0.007755463444741234,0.987241220749435
MSFT,2023-01-09,220.83314514160156,0.009689270130825038,0.9464692284939775
NVDA,2023-01-09,15.593351364135742,0.050458487347700746,1.0883986863445003
AAPL,2023-01-10,128.43748474121094,0.004446578314185092,1.0444552173922703
AMZN,2023-01-10,89.87000274658203,0.028326693248784427,1.0457009206638865
GOOGL,2023-01-10,87.642852783203125,0.004534302857712123,0.9917176714379303
MSFT,2023-01-10,222.51528930664063,0.007588398227431022,0.9536514139097991
NVDA,2023-01-10,15.873730659484863,0.017820954322187416,1.1077949896181745
AAPL,2023-01-11,131.1490936279297,0.020892509444223287,1.0662765078857066
AMZN,2023-01-11,95.089996337890625,0.05645956080731301,1.1047407353803724
GOOGL,2023-01-11,90.715606689453125,0.03445934631008573,1.0258916141198418
MSFT,2023-01-11,229.24374389648438,0.0297900060964856,0.9820606953440941
NVDA,2023-01-11,15.965523719787598,0.0057660467504496785,1.1141825873182267
AAPL,2023-01-12,131.07049560546875,-5.994824798909022e-4,1.0656372938005099
AMZN,2023-01-12,95.2699966430664,0.0018911574433712077,1.1068299740450824
GOOGL,2023-01-12,90.32902526855469,-0.004270571341989844,1.021510470792594
MSFT,2023-01-12,231.90786743164063,0.011554348325706223,0.9934077666950849
NVDA,2023-01-12,16.47439193725586,0.03137554162368286,1.1491406694630126
AAPL,2023-01-13,132.39683532714844,0.010068428002659332,1.076366586170089
AMZN,2023-01-13,98.12000274658203,0.029476316899670684,1.1394552451140898
GOOGL,2023-01-13,91.310333251953125,0.010805119977656156,1.03254801398794
MSFT,2023-01-13,232.6079559326172,0.0030142742005254126,0.9964021700968355
NVDA,2023-01-13,16.861534118652344,0.023227768552220168,1.1758326429672428
AAPL,2023-01-17,133.5561065673828,0.008717922608625101,1.08575026676683
AMZN,2023-01-17,96.05000305175781,-0.021322326395198637,1.115159408465046
GOOGL,2023-01-17,90.48762512207031,-0.009050857924395098,1.023202568613219
MSFT,2023-01-17,233.6969757080078,0.004670856692328767,1.0010562218412833
NVDA,2023-01-17,17.662752151489258,0.04642308395093951,1.230418420463966
AAPL,2023-01-18,132.83892822265625,-0.005384335169294636,1.0799042234204064
AMZN,2023-01-18,95.45999908447266,-0.0061616190001011146,1.1082882210657063
GOOGL,2023-01-18,90.319122314453125,-0.001863900089897204,1.0212954212535976
MSFT,2023-01-18,229.28260803222656,-0.019069961651372452,0.9819661180799022
NVDA,2023-01-18,17.338476181030273,-0.018529935344046088,1.2076188466866455
AAPL,2023-01-19,132.89785766601563,4.43517401087579e-4,1.0803831797350012
AMZN,2023-01-19,93.68000030517578,-0.018822579439957077,1.0874273779823285
GOOGL,2023-01-19,92.23216247558594,0.020959701242083503,1.0427014681629807
MSFT,2023-01-19,225.51002502441406,-0.016590724068463535,0.9656745891702583
NVDA,2023-01-19,16.727827072143555,-0.03585446421352089,1.1643203199645458
AAPL,2023-01-20,135.45228576660156,0.019038598047262774,1.1009521608309993
AMZN,2023-01-20,97.25,0.037400259951453026,1.1280974445971945
GOOGL,2023-01-20,97.158477783203125,0.05203453337144358,1.0969579525045605
MSFT,2023-01-20,233.57054138183594,0.03511952107802681,0.9995886182591381
NVDA,2023-01-20,17.79945182800293,0.06209403620023024,1.2366176680610879
AAPL,2023-01-23,138.63546752929688,0.023228508757151708,1.1265256377400674
AMZN,2023-01-23,97.5199966430664,0.0027724682514327437,1.1312250589468626
GOOGL,2023-01-23,98.91290283203125,0.017896256639729564,1.1165893935455744
MSFT,2023-01-23,235.86524963378906,0.009776529925054614,1.0093611262982924
NVDA,2023-01-23,19.150449752807617,0.07315854049295002,1.3270868118042325
AAPL,2023-01-24,140.03057861328125,0.010012864926567756,1.1378053867870743
AMZN,2023-01-24,96.31999969482422,-0.012381472357830799,1.1172188271490266
GOOGL,2023-01-24,96.8412857055664,-0.021166284959138932,1.0929553442594366
MSFT,2023-01-24,235.3401641845703,-0.0022286911447310597,1.0071115720942758
NVDA,2023-01-24,19.222286224365234,0.003744145610104743,1.3320556180648773
AAPL,2023-01-25,139.372314453125,-0.004711943894729394,1.1324441116414128
AMZN,2023-01-25,97.18000030517578,0.008888953725914,1.1271497336052743
GOOGL,2023-01-25,94.3830795288086,-0.025711593771757503,1.0648537204371666
MSFT,2023-01-25,233.9497528076172,-0.005925613975729105,1.0011438176875553
NVDA,2023-01-25,19.280160903930664,0.003006288039860697,1.336060160937895
AAPL,2023-01-26,141.43548583984375,0.01469480912394362,1.1490851617055173
AMZN,2023-01-26,99.220001220703125,0.020774687057825685,1.1505659165882351
GOOGL,2023-01-26,96.6628646850586,0.023867487888642902,1.090269103712877
MSFT,2023-01-26,241.13519287109375,0.030251381769800086,1.0314298015228966
NVDA,2023-01-26,19.758102416992188,0.024487021392531644,1.3687762946804904
AAPL,2023-01-27,143.37094116210938,0.013591583149667326,1.1647030482268868
AMZN,2023-01-27,102.23999786376953,0.02998335055905419,1.1850637378065998
GOOGL,2023-01-27,98.496612548828125,0.018792854524743104,1.1107583723717753
